Name,Ti,V,Mn,Fe,Co,Ni,Zr,Mo,Sn,W,cp,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,4.0,966
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,5.0,957.5
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,0.5,354.13
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,1.0,342.5
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,2.0,321.7
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,3.0,307.7
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,4.0,294.5
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,5.0,289.5
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,1.0,936
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,2.0,883.2
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,5.0,810
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,10.0,746
